iter	RMSE
0	1.19531266
1	1.166065096
2	1.141497178
3	1.117878164
4	1.095039284
5	1.072825067
6	1.051221741
7	1.025353373
8	1.00184521
9	0.9819412913
10	0.9591141506
11	0.9384156653
12	0.922817119
13	0.9011858314
14	0.8804199122
15	0.8601737221
16	0.842875629
17	0.8251622292
18	0.8067701071
19	0.7897108921
20	0.7730697376
21	0.7587441393
22	0.7464434706
23	0.7323692366
24	0.7154313313
25	0.7027535721
26	0.6903830129
27	0.6782282414
28	0.6649020734
29	0.6522511988
30	0.6410005149
31	0.6270119564
32	0.6159689781
33	0.6027992944
34	0.5911021315
35	0.5813629676
36	0.5710751656
37	0.5610079835
38	0.5515325988
39	0.5419871447
40	0.5339790582
41	0.5248379224
42	0.5172181899
43	0.508033484
44	0.4989055132
45	0.4905496881
46	0.482678176
47	0.4736499533
48	0.4657969671
49	0.4592519811
50	0.452027294
51	0.4458686646
52	0.4403517249
53	0.4349790782
54	0.42909261
55	0.4239931739
56	0.418115514
57	0.412890858
58	0.4085840548
59	0.4034916729
60	0.3966058067
61	0.3904216913
62	0.3849386572
63	0.3795829418
64	0.3740820213
65	0.370643116
66	0.3651864168
67	0.3617589587
68	0.3583688426
69	0.3552126075
70	0.3509609347
71	0.346519168
72	0.3427994932
73	0.3401187994
74	0.3358830799
75	0.333492601
76	0.3315238425
77	0.3274291163
78	0.3250095561
79	0.3222497779
80	0.3200644812
81	0.3158496315
82	0.3120129025
83	0.3092012943
84	0.3070614004
85	0.304836114
86	0.3023977443
87	0.2993302122
88	0.2959081019
89	0.2938834209
90	0.2918016852
91	0.2895533608
92	0.2874863877
93	0.2854297838
94	0.2825795187
95	0.2799364567
96	0.277691725
97	0.2763857203
98	0.2734766234
99	0.2723417727
100	0.2711713946
101	0.2685402736
102	0.2661971852
103	0.2637463616
104	0.2614096466
105	0.2606267048
106	0.25920218
107	0.2570511619
108	0.2549001227
109	0.2528003072
110	0.2517354584
111	0.2498150025
112	0.2482059608
113	0.2472528586
114	0.2456547307
115	0.2441651335
116	0.2423854891
117	0.2406087531
118	0.2390872353
119	0.2376823979
120	0.2365903573
121	0.2356817465
122	0.2343060008
123	0.2329173494
124	0.2314043796
125	0.2301666145
126	0.2285738012
127	0.227066133
128	0.2259410162
129	0.2247228703
130	0.2234268137
131	0.2223922513
132	0.2210142431
133	0.2199424291
134	0.2186669058
135	0.2178313589
136	0.2168672138
137	0.2156104028
138	0.2146489684
139	0.2135595963
140	0.2124023767
141	0.2112624855
142	0.2101876949
143	0.2093665528
144	0.208324439
145	0.2075496183
146	0.2062774633
147	0.2051282534
148	0.2038618659
149	0.2029838659
150	0.2020230776
151	0.2009062063
152	0.1999932919
153	0.1991418459
154	0.1981519488
155	0.1972878121
156	0.1962100301
157	0.1953345291
158	0.1948223272
159	0.1938071066
160	0.1929341298
161	0.1921043935
162	0.1912758163
163	0.19056623
164	0.1897505783
165	0.1887506375
166	0.188046499
167	0.1872787925
168	0.1867500251
169	0.1860428221
170	0.1853856652
171	0.1845831111
172	0.1839287332
173	0.183290427
174	0.1825561282
175	0.181870003
176	0.1809165488
177	0.1799729489
178	0.1793354949
179	0.17851883
180	0.1778036052
181	0.1771973486
182	0.1765746291
183	0.1759227823
184	0.1751613889
185	0.1746137856
186	0.1739933198
187	0.1734416664
188	0.1726906799
189	0.1719562685
190	0.1711857713
191	0.1707298274
192	0.1700754866
193	0.1693342119
194	0.1687815309
195	0.168371755
196	0.1679209739
197	0.1671849742
198	0.1664178164
199	0.1658050851
