iter	Passed	Remaining
0	53	53008
1	114	57354
2	181	60185
3	241	60115
4	314	62679
5	378	62782
6	419	59530
7	482	59827
8	547	60330
9	608	60262
10	670	60316
11	733	60378
12	790	60005
13	843	59422
14	898	59032
15	962	59210
16	1029	59512
17	1087	59303
18	1142	58971
19	1203	58960
20	1259	58726
21	1325	58912
22	1385	58848
23	1447	58848
24	1507	58797
25	1578	59130
26	1665	60034
27	1728	60006
28	1791	59996
29	1853	59934
30	1920	60030
31	1993	60293
32	2054	60206
33	2117	60154
34	2188	60341
35	2254	60380
36	2321	60422
37	2395	60647
38	2447	60310
39	2514	60352
40	2600	60829
41	2678	61106
42	2757	61364
43	2819	61257
44	2897	61495
45	2963	61460
46	3021	61275
47	3084	61183
48	3161	61353
49	3233	61443
50	3298	61385
51	3366	61382
52	3444	61545
53	3515	61592
54	3590	61688
55	3699	62363
56	3804	62948
57	3927	63785
58	4006	63902
59	4070	63765
60	4157	63995
61	4237	64106
62	4318	64222
63	4402	64385
64	4517	64975
65	4583	64859
66	4644	64672
67	4710	64564
68	4786	64580
69	4849	64423
70	4909	64238
71	4967	64030
72	5027	63848
73	5089	63682
74	5146	63473
75	5202	63253
76	5273	63211
77	5331	63023
78	5398	62933
79	5456	62754
80	5527	62713
81	5589	62574
82	5645	62374
83	5705	62219
84	5772	62140
85	5844	62115
86	5920	62129
87	5986	62040
88	6048	61910
89	6125	61939
90	6180	61733
91	6238	61572
92	6299	61435
93	6357	61273
94	6420	61162
95	6481	61033
96	6551	60985
97	6612	60866
98	6667	60682
99	6732	60596
100	6795	60484
101	6852	60332
102	6910	60178
103	6965	60011
104	7024	59878
105	7081	59725
106	7147	59649
107	7205	59515
108	7267	59403
109	7323	59253
110	7385	59148
111	7445	59032
112	7505	58912
113	7565	58796
114	7627	58702
115	7688	58588
116	7747	58470
117	7776	58124
118	7834	58004
119	7890	57864
120	7950	57755
121	8010	57648
122	8066	57516
123	8124	57393
124	8182	57276
125	8237	57141
126	8293	57013
127	8351	56896
128	8408	56771
129	8470	56685
130	8530	56590
131	8586	56465
132	8624	56219
133	8679	56091
134	8742	56018
135	8801	55915
136	8870	55877
137	8926	55757
138	8989	55681
139	9059	55651
140	9125	55591
141	9181	55476
142	9239	55370
143	9277	55150
144	9331	55020
145	9385	54897
146	9442	54791
147	9500	54692
148	9563	54620
149	9620	54517
150	9679	54424
151	9798	54664
152	9869	54636
153	9952	54674
154	10017	54609
155	10076	54515
156	10131	54399
157	10187	54287
158	10245	54189
159	10307	54116
160	10364	54009
161	10427	53941
162	10492	53877
163	10556	53812
164	10618	53737
165	10677	53643
166	10731	53530
167	10796	53468
168	10855	53376
169	10913	53283
170	10977	53220
171	11039	53144
172	11134	53226
173	11191	53125
174	11244	53011
175	11298	52897
176	11352	52788
177	11414	52713
178	11478	52647
179	11532	52538
180	11590	52445
181	11643	52330
182	11699	52232
183	11755	52132
184	11810	52031
185	11864	51924
186	11922	51836
187	11984	51761
188	12045	51687
189	12112	51638
190	12180	51593
191	12248	51546
192	12313	51487
193	12372	51402
194	12440	51357
195	12500	51275
196	12558	51191
197	12618	51112
198	12673	51014
199	12728	50913
200	12819	50958
201	12891	50929
202	12957	50871
203	13024	50823
204	13085	50745
205	13115	50550
206	13193	50543
207	13253	50463
208	13308	50367
209	13366	50282
210	13433	50231
211	13506	50204
212	13581	50181
213	13646	50123
214	13707	50047
215	13761	49950
216	13816	49852
217	13873	49766
218	13931	49681
219	13994	49617
220	14060	49563
221	14121	49490
222	14184	49424
223	14249	49364
224	14309	49288
225	14372	49222
226	14432	49148
227	14487	49054
228	14547	48979
229	14611	48917
230	14675	48853
231	14730	48763
232	14792	48694
233	14846	48599
234	14900	48505
235	14958	48423
236	15023	48365
237	15083	48292
238	15139	48204
239	15196	48123
240	15252	48036
241	15307	47947
242	15361	47853
243	15415	47762
244	15471	47676
245	15527	47593
246	15584	47510
247	15641	47430
248	15697	47345
249	15753	47259
250	15806	47168
251	15861	47081
252	15917	46996
253	15973	46913
254	16029	46831
255	16089	46759
256	16144	46674
257	16200	46593
258	16257	46512
259	16313	46431
260	16369	46349
261	16422	46260
262	16476	46172
263	16555	46154
264	16611	46073
265	16670	46001
266	16730	45931
267	16785	45847
268	16839	45761
269	16895	45681
270	16953	45604
271	17058	45657
272	17135	45630
273	17210	45601
274	17274	45542
275	17340	45487
276	17406	45433
277	17476	45389
278	17548	45348
279	17613	45290
280	17679	45237
281	17772	45250
282	17853	45232
283	17941	45232
284	18004	45168
285	18061	45091
286	18126	45031
287	18198	44991
288	18273	44957
289	18353	44934
290	18433	44912
291	18499	44854
292	18572	44813
293	18640	44763
294	18706	44705
295	18775	44654
296	18846	44608
297	18941	44621
298	19011	44572
299	19084	44530
300	19149	44469
301	19218	44418
302	19300	44396
303	19384	44381
304	19470	44366
305	19551	44341
306	19627	44306
307	19715	44296
308	19794	44265
309	19869	44225
310	19938	44173
311	20005	44115
312	20093	44101
313	20210	44154
314	20311	44169
315	20381	44115
316	20460	44083
317	20545	44062
318	20641	44064
319	20711	44012
320	20781	43957
321	20847	43896
322	20914	43835
323	20984	43782
324	21050	43720
325	21114	43654
326	21182	43596
327	21259	43556
328	21327	43497
329	21392	43433
330	21451	43355
331	21518	43296
332	21596	43258
333	21675	43221
334	21745	43166
335	21820	43121
336	21888	43063
337	21957	43004
338	22042	42980
339	22128	42956
340	22197	42897
341	22265	42839
342	22334	42780
343	22410	42736
344	22488	42695
345	22560	42643
346	22630	42586
347	22703	42536
348	22790	42511
349	22874	42481
350	22962	42458
351	23033	42401
352	23104	42346
353	23175	42291
354	23275	42289
355	23407	42343
356	23519	42360
357	23584	42294
358	23662	42249
359	23733	42193
360	23803	42134
361	23890	42105
362	23985	42089
363	24056	42032
364	24125	41972
365	24202	41924
366	24284	41885
367	24365	41845
368	24441	41795
369	24508	41731
370	24575	41666
371	24648	41611
372	24723	41559
373	24800	41511
374	24877	41462
375	24947	41401
376	25016	41339
377	25088	41283
378	25173	41247
379	25250	41197
380	25315	41129
381	25385	41069
382	25452	41002
383	25535	40963
384	25603	40899
385	25674	40840
386	25748	40785
387	25815	40719
388	25887	40661
